__run_id,__done,msg_type,msg_interval,msg_size,exec_time,cli
run_206_repetition_0,DONE,Float64,0.5,2,120,1
run_207_repetition_0,DONE,Float64,0.5,2,120,2
run_208_repetition_0,DONE,Float64,0.5,3,120,1
run_209_repetition_0,DONE,Float64,0.5,3,120,2
run_210_repetition_0,DONE,Float64,1.0,1,120,1
run_211_repetition_0,DONE,Float64,1.0,1,120,2
run_212_repetition_0,DONE,Float64,1.0,2,120,1
run_213_repetition_0,DONE,Float64,1.0,2,120,2
run_214_repetition_0,DONE,Float64,1.0,3,120,1
run_215_repetition_0,DONE,Float64,1.0,3,120,2
run_216_repetition_0,DONE,Float32,0.1,1,120,1
run_217_repetition_0,DONE,Float32,0.1,1,120,2
run_218_repetition_0,DONE,Float32,0.1,2,120,1
run_219_repetition_0,DONE,Float32,0.1,2,120,2
run_220_repetition_0,DONE,Float32,0.1,3,120,1
run_221_repetition_0,DONE,Float32,0.1,3,120,2
run_222_repetition_0,DONE,Float32,0.2,1,120,1
run_223_repetition_0,DONE,Float32,0.2,1,120,2
run_224_repetition_0,DONE,Float32,0.2,2,120,1
run_225_repetition_0,DONE,Float32,0.2,2,120,2
run_226_repetition_0,DONE,Float32,0.2,3,120,1
run_227_repetition_0,DONE,Float32,0.2,3,120,2
run_228_repetition_0,DONE,Float32,0.5,1,120,1
run_229_repetition_0,DONE,Float32,0.5,1,120,2
run_230_repetition_0,DONE,Float32,0.5,2,120,1
run_231_repetition_0,DONE,Float32,0.5,2,120,2
run_232_repetition_0,DONE,Float32,0.5,3,120,1
run_233_repetition_0,DONE,Float32,0.5,3,120,2
run_234_repetition_0,DONE,Float32,1.0,1,120,1
run_235_repetition_0,DONE,Float32,1.0,1,120,2
run_236_repetition_0,DONE,Float32,1.0,2,120,1
run_237_repetition_0,DONE,Float32,1.0,2,120,2
run_238_repetition_0,DONE,Float32,1.0,3,120,1
run_239_repetition_0,DONE,Float32,1.0,3,120,2
run_240_repetition_0,DONE,Vector3,0.1,1,120,1
run_241_repetition_0,DONE,Vector3,0.1,1,120,2
run_242_repetition_0,DONE,Vector3,0.1,2,120,1
run_243_repetition_0,DONE,Vector3,0.1,2,120,2
run_244_repetition_0,DONE,Vector3,0.1,3,120,1
run_245_repetition_0,DONE,Vector3,0.1,3,120,2
run_246_repetition_0,DONE,Vector3,0.2,1,120,1
run_247_repetition_0,DONE,Vector3,0.2,1,120,2
run_248_repetition_0,DONE,Vector3,0.2,2,120,1
run_249_repetition_0,DONE,Vector3,0.2,2,120,2
run_250_repetition_0,DONE,Vector3,0.2,3,120,1
run_251_repetition_0,DONE,Vector3,0.2,3,120,2
run_252_repetition_0,DONE,Vector3,0.5,1,120,1
run_253_repetition_0,DONE,Vector3,0.5,1,120,2
run_254_repetition_0,DONE,Vector3,0.5,2,120,1
run_255_repetition_0,DONE,Vector3,0.5,2,120,2
run_256_repetition_0,DONE,Vector3,0.5,3,120,1
run_257_repetition_0,DONE,Vector3,0.5,3,120,2
run_258_repetition_0,DONE,Vector3,1.0,1,120,1
run_259_repetition_0,DONE,Vector3,1.0,1,120,2
run_260_repetition_0,DONE,Vector3,1.0,2,120,1
run_261_repetition_0,DONE,Vector3,1.0,2,120,2
run_262_repetition_0,DONE,Vector3,1.0,3,120,1
run_263_repetition_0,DONE,Vector3,1.0,3,120,2
run_264_repetition_0,DONE,Float64MultiArray,0.1,1,120,1
run_265_repetition_0,DONE,Float64MultiArray,0.1,1,120,2
run_266_repetition_0,DONE,Float64MultiArray,0.1,2,120,1
run_267_repetition_0,DONE,Float64MultiArray,0.1,2,120,2
run_268_repetition_0,DONE,Float64MultiArray,0.1,3,120,1
run_269_repetition_0,DONE,Float64MultiArray,0.1,3,120,2
run_270_repetition_0,DONE,Float64MultiArray,0.2,1,120,1
run_271_repetition_0,DONE,Float64MultiArray,0.2,1,120,2
run_272_repetition_0,DONE,Float64MultiArray,0.2,2,120,1
run_273_repetition_0,DONE,Float64MultiArray,0.2,2,120,2
run_274_repetition_0,DONE,Float64MultiArray,0.2,3,120,1
run_275_repetition_0,DONE,Float64MultiArray,0.2,3,120,2
run_276_repetition_0,DONE,Float64MultiArray,0.5,1,120,1
run_277_repetition_0,DONE,Float64MultiArray,0.5,1,120,2
run_278_repetition_0,DONE,Float64MultiArray,0.5,2,120,1
run_279_repetition_0,DONE,Float64MultiArray,0.5,2,120,2
run_280_repetition_0,DONE,Float64MultiArray,0.5,3,120,1
run_281_repetition_0,DONE,Float64MultiArray,0.5,3,120,2
run_282_repetition_0,DONE,Float64MultiArray,1.0,1,120,1
run_283_repetition_0,DONE,Float64MultiArray,1.0,1,120,2
run_284_repetition_0,DONE,Float64MultiArray,1.0,2,120,1
run_285_repetition_0,DONE,Float64MultiArray,1.0,2,120,2
run_286_repetition_0,DONE,Float64MultiArray,1.0,3,120,1
run_287_repetition_0,DONE,Float64MultiArray,1.0,3,120,2
run_288_repetition_0,DONE,PoseWithCovariance,0.1,1,120,1
run_289_repetition_0,DONE,PoseWithCovariance,0.1,1,120,2
run_290_repetition_0,DONE,PoseWithCovariance,0.1,2,120,1
run_291_repetition_0,DONE,PoseWithCovariance,0.1,2,120,2
run_292_repetition_0,DONE,PoseWithCovariance,0.1,3,120,1
run_293_repetition_0,DONE,PoseWithCovariance,0.1,3,120,2
run_294_repetition_0,DONE,PoseWithCovariance,0.2,1,120,1
run_295_repetition_0,DONE,PoseWithCovariance,0.2,1,120,2
run_296_repetition_0,DONE,PoseWithCovariance,0.2,2,120,1
run_297_repetition_0,DONE,PoseWithCovariance,0.2,2,120,2
run_298_repetition_0,DONE,PoseWithCovariance,0.2,3,120,1
run_299_repetition_0,DONE,PoseWithCovariance,0.2,3,120,2
run_300_repetition_0,DONE,PoseWithCovariance,0.5,1,120,1
run_301_repetition_0,DONE,PoseWithCovariance,0.5,1,120,2
run_302_repetition_0,DONE,PoseWithCovariance,0.5,2,120,1
run_303_repetition_0,DONE,PoseWithCovariance,0.5,2,120,2
run_304_repetition_0,DONE,PoseWithCovariance,0.5,3,120,1
run_305_repetition_0,DONE,PoseWithCovariance,0.5,3,120,2
run_306_repetition_0,DONE,PoseWithCovariance,1.0,1,120,1
run_307_repetition_0,DONE,PoseWithCovariance,1.0,1,120,2
run_308_repetition_0,DONE,PoseWithCovariance,1.0,2,120,1
run_309_repetition_0,DONE,PoseWithCovariance,1.0,2,120,2
run_310_repetition_0,DONE,PoseWithCovariance,1.0,3,120,1
run_311_repetition_0,DONE,PoseWithCovariance,1.0,3,120,2
run_312_repetition_0,DONE,PoseWithCovarianceStamped,0.1,1,120,1
run_313_repetition_0,DONE,PoseWithCovarianceStamped,0.1,1,120,2
run_314_repetition_0,DONE,PoseWithCovarianceStamped,0.1,2,120,1
run_315_repetition_0,DONE,PoseWithCovarianceStamped,0.1,2,120,2
run_316_repetition_0,DONE,PoseWithCovarianceStamped,0.1,3,120,1
run_317_repetition_0,DONE,PoseWithCovarianceStamped,0.1,3,120,2
run_318_repetition_0,DONE,PoseWithCovarianceStamped,0.2,1,120,1
run_319_repetition_0,DONE,PoseWithCovarianceStamped,0.2,1,120,2
run_320_repetition_0,DONE,PoseWithCovarianceStamped,0.2,2,120,1
run_321_repetition_0,DONE,PoseWithCovarianceStamped,0.2,2,120,2
run_322_repetition_0,DONE,PoseWithCovarianceStamped,0.2,3,120,1
run_323_repetition_0,DONE,PoseWithCovarianceStamped,0.2,3,120,2
run_324_repetition_0,DONE,PoseWithCovarianceStamped,0.5,1,120,1
run_325_repetition_0,DONE,PoseWithCovarianceStamped,0.5,1,120,2
run_326_repetition_0,DONE,PoseWithCovarianceStamped,0.5,2,120,1
run_327_repetition_0,DONE,PoseWithCovarianceStamped,0.5,2,120,2
run_328_repetition_0,DONE,PoseWithCovarianceStamped,0.5,3,120,1
run_329_repetition_0,DONE,PoseWithCovarianceStamped,0.5,3,120,2
run_330_repetition_0,DONE,PoseWithCovarianceStamped,1.0,1,120,1
run_331_repetition_0,DONE,PoseWithCovarianceStamped,1.0,1,120,2
run_332_repetition_0,DONE,PoseWithCovarianceStamped,1.0,2,120,1
run_333_repetition_0,DONE,PoseWithCovarianceStamped,1.0,2,120,2
run_334_repetition_0,DONE,PoseWithCovarianceStamped,1.0,3,120,1
run_335_repetition_0,DONE,PoseWithCovarianceStamped,1.0,3,120,2
run_336_repetition_0,DONE,Int32,0.1,1,120,1
run_337_repetition_0,DONE,Int32,0.1,1,120,2
run_338_repetition_0,DONE,Int32,0.1,2,120,1
run_339_repetition_0,DONE,Int32,0.1,2,120,2
run_340_repetition_0,DONE,Int32,0.1,3,120,1
run_341_repetition_0,DONE,Int32,0.1,3,120,2
run_342_repetition_0,DONE,Int32,0.2,1,120,1
run_343_repetition_0,DONE,Int32,0.2,1,120,2
run_344_repetition_0,DONE,Int32,0.2,2,120,1
run_345_repetition_0,DONE,Int32,0.2,2,120,2
run_346_repetition_0,DONE,Int32,0.2,3,120,1
run_347_repetition_0,DONE,Int32,0.2,3,120,2
run_348_repetition_0,DONE,Int32,0.5,1,120,1
run_349_repetition_0,DONE,Int32,0.5,1,120,2
run_350_repetition_0,DONE,Int32,0.5,2,120,1
run_351_repetition_0,DONE,Int32,0.5,2,120,2
run_352_repetition_0,DONE,Int32,0.5,3,120,1
run_353_repetition_0,DONE,Int32,0.5,3,120,2
run_354_repetition_0,DONE,Int32,1.0,1,120,1
run_355_repetition_0,DONE,Int32,1.0,1,120,2
run_356_repetition_0,DONE,Int32,1.0,2,120,1
run_357_repetition_0,DONE,Int32,1.0,2,120,2
run_358_repetition_0,DONE,Int32,1.0,3,120,1
run_359_repetition_0,DONE,Int32,1.0,3,120,2
run_0_repetition_1,DONE,Image,0.1,1,120,1
run_1_repetition_1,DONE,Image,0.1,1,120,2
run_2_repetition_1,DONE,Image,0.1,2,120,1
run_3_repetition_1,DONE,Image,0.1,2,120,2
run_4_repetition_1,DONE,Image,0.1,3,120,1
run_5_repetition_1,DONE,Image,0.1,3,120,2
run_6_repetition_1,DONE,Image,0.2,1,120,1
run_7_repetition_1,DONE,Image,0.2,1,120,2
run_8_repetition_1,DONE,Image,0.2,2,120,1
run_9_repetition_1,DONE,Image,0.2,2,120,2
run_10_repetition_1,DONE,Image,0.2,3,120,1
run_11_repetition_1,DONE,Image,0.2,3,120,2
run_12_repetition_1,DONE,Image,0.5,1,120,1
run_13_repetition_1,DONE,Image,0.5,1,120,2
run_14_repetition_1,DONE,Image,0.5,2,120,1
run_15_repetition_1,DONE,Image,0.5,2,120,2
run_16_repetition_1,DONE,Image,0.5,3,120,1
run_17_repetition_1,DONE,Image,0.5,3,120,2
run_18_repetition_1,DONE,Image,1.0,1,120,1
run_19_repetition_1,DONE,Image,1.0,1,120,2
run_20_repetition_1,DONE,Image,1.0,2,120,1
run_21_repetition_1,DONE,Image,1.0,2,120,2
run_22_repetition_1,DONE,Image,1.0,3,120,1
run_23_repetition_1,DONE,Image,1.0,3,120,2
run_24_repetition_1,DONE,Pose,0.1,1,120,1
run_25_repetition_1,DONE,Pose,0.1,1,120,2
run_26_repetition_1,DONE,Pose,0.1,2,120,1
run_27_repetition_1,DONE,Pose,0.1,2,120,2
run_28_repetition_1,DONE,Pose,0.1,3,120,1
run_29_repetition_1,DONE,Pose,0.1,3,120,2
run_30_repetition_1,DONE,Pose,0.2,1,120,1
run_31_repetition_1,DONE,Pose,0.2,1,120,2
run_32_repetition_1,DONE,Pose,0.2,2,120,1
run_33_repetition_1,DONE,Pose,0.2,2,120,2
run_34_repetition_1,DONE,Pose,0.2,3,120,1
run_35_repetition_1,DONE,Pose,0.2,3,120,2
run_36_repetition_1,DONE,Pose,0.5,1,120,1
run_37_repetition_1,DONE,Pose,0.5,1,120,2
run_38_repetition_1,DONE,Pose,0.5,2,120,1
run_39_repetition_1,DONE,Pose,0.5,2,120,2
run_40_repetition_1,DONE,Pose,0.5,3,120,1
run_41_repetition_1,DONE,Pose,0.5,3,120,2
run_42_repetition_1,DONE,Pose,1.0,1,120,1
run_43_repetition_1,DONE,Pose,1.0,1,120,2
run_44_repetition_1,DONE,Pose,1.0,2,120,1
run_45_repetition_1,DONE,Pose,1.0,2,120,2
run_46_repetition_1,DONE,Pose,1.0,3,120,1
run_47_repetition_1,DONE,Pose,1.0,3,120,2
run_48_repetition_1,DONE,PointCloud,0.1,1,120,1
run_49_repetition_1,DONE,PointCloud,0.1,1,120,2
run_50_repetition_1,DONE,PointCloud,0.1,2,120,1
run_51_repetition_1,DONE,PointCloud,0.1,2,120,2
run_52_repetition_1,DONE,PointCloud,0.1,3,120,1
run_53_repetition_1,DONE,PointCloud,0.1,3,120,2
run_54_repetition_1,DONE,PointCloud,0.2,1,120,1
run_55_repetition_1,DONE,PointCloud,0.2,1,120,2
run_56_repetition_1,DONE,PointCloud,0.2,2,120,1
run_57_repetition_1,DONE,PointCloud,0.2,2,120,2
run_58_repetition_1,DONE,PointCloud,0.2,3,120,1
run_59_repetition_1,DONE,PointCloud,0.2,3,120,2
run_60_repetition_1,DONE,PointCloud,0.5,1,120,1
run_61_repetition_1,DONE,PointCloud,0.5,1,120,2
run_62_repetition_1,DONE,PointCloud,0.5,2,120,1
run_63_repetition_1,DONE,PointCloud,0.5,2,120,2
run_64_repetition_1,DONE,PointCloud,0.5,3,120,1
run_65_repetition_1,DONE,PointCloud,0.5,3,120,2
run_66_repetition_1,DONE,PointCloud,1.0,1,120,1
run_67_repetition_1,DONE,PointCloud,1.0,1,120,2
run_68_repetition_1,DONE,PointCloud,1.0,2,120,1
run_69_repetition_1,DONE,PointCloud,1.0,2,120,2
run_70_repetition_1,DONE,PointCloud,1.0,3,120,1
run_71_repetition_1,DONE,PointCloud,1.0,3,120,2
run_72_repetition_1,DONE,PointCloud2,0.1,1,120,1
run_73_repetition_1,DONE,PointCloud2,0.1,1,120,2
run_74_repetition_1,DONE,PointCloud2,0.1,2,120,1
run_75_repetition_1,DONE,PointCloud2,0.1,2,120,2
run_76_repetition_1,DONE,PointCloud2,0.1,3,120,1
run_77_repetition_1,DONE,PointCloud2,0.1,3,120,2
run_78_repetition_1,DONE,PointCloud2,0.2,1,120,1
run_79_repetition_1,DONE,PointCloud2,0.2,1,120,2
run_80_repetition_1,DONE,PointCloud2,0.2,2,120,1
run_81_repetition_1,DONE,PointCloud2,0.2,2,120,2
run_82_repetition_1,DONE,PointCloud2,0.2,3,120,1
run_83_repetition_1,DONE,PointCloud2,0.2,3,120,2
run_84_repetition_1,DONE,PointCloud2,0.5,1,120,1
run_85_repetition_1,DONE,PointCloud2,0.5,1,120,2
run_86_repetition_1,DONE,PointCloud2,0.5,2,120,1
run_87_repetition_1,DONE,PointCloud2,0.5,2,120,2
run_88_repetition_1,DONE,PointCloud2,0.5,3,120,1
run_89_repetition_1,DONE,PointCloud2,0.5,3,120,2
run_90_repetition_1,DONE,PointCloud2,1.0,1,120,1
run_91_repetition_1,DONE,PointCloud2,1.0,1,120,2
run_92_repetition_1,DONE,PointCloud2,1.0,2,120,1
run_93_repetition_1,DONE,PointCloud2,1.0,2,120,2
run_94_repetition_1,DONE,PointCloud2,1.0,3,120,1
run_95_repetition_1,DONE,PointCloud2,1.0,3,120,2
run_96_repetition_1,DONE,Imu,0.1,1,120,1
run_97_repetition_1,DONE,Imu,0.1,1,120,2
run_98_repetition_1,DONE,Imu,0.1,2,120,1
run_99_repetition_1,DONE,Imu,0.1,2,120,2
run_100_repetition_1,DONE,Imu,0.1,3,120,1
run_101_repetition_1,DONE,Imu,0.1,3,120,2
