id,__run_id,__done,msg_type,msg_interval,msg_size,exec_time,cli
78,run_77_repetition_0,DONE,PointCloud2,0.1,3,120,2
79,run_78_repetition_0,DONE,PointCloud2,0.2,1,120,1
80,run_79_repetition_0,DONE,PointCloud2,0.2,1,120,2
81,run_80_repetition_0,DONE,PointCloud2,0.2,2,120,1
82,run_81_repetition_0,DONE,PointCloud2,0.2,2,120,2
83,run_82_repetition_0,DONE,PointCloud2,0.2,3,120,1
84,run_83_repetition_0,DONE,PointCloud2,0.2,3,120,2
85,run_84_repetition_0,DONE,PointCloud2,0.5,1,120,1
86,run_85_repetition_0,DONE,PointCloud2,0.5,1,120,2
87,run_86_repetition_0,DONE,PointCloud2,0.5,2,120,1
88,run_87_repetition_0,DONE,PointCloud2,0.5,2,120,2
89,run_88_repetition_0,DONE,PointCloud2,0.5,3,120,1
90,run_89_repetition_0,DONE,PointCloud2,0.5,3,120,2
91,run_90_repetition_0,DONE,PointCloud2,1.0,1,120,1
92,run_91_repetition_0,DONE,PointCloud2,1.0,1,120,2
93,run_92_repetition_0,DONE,PointCloud2,1.0,2,120,1
94,run_93_repetition_0,DONE,PointCloud2,1.0,2,120,2
95,run_94_repetition_0,DONE,PointCloud2,1.0,3,120,1
96,run_95_repetition_0,DONE,PointCloud2,1.0,3,120,2
97,run_96_repetition_0,DONE,Imu,0.1,1,120,1
98,run_97_repetition_0,DONE,Imu,0.1,1,120,2
99,run_98_repetition_0,DONE,Imu,0.1,2,120,1
100,run_99_repetition_0,DONE,Imu,0.1,2,120,2
101,run_100_repetition_0,DONE,Imu,0.1,3,120,1
102,run_101_repetition_0,DONE,Imu,0.1,3,120,2
103,run_102_repetition_0,DONE,Imu,0.2,1,120,1
104,run_103_repetition_0,DONE,Imu,0.2,1,120,2
105,run_104_repetition_0,DONE,Imu,0.2,2,120,1
106,run_105_repetition_0,DONE,Imu,0.2,2,120,2
107,run_106_repetition_0,DONE,Imu,0.2,3,120,1
108,run_107_repetition_0,DONE,Imu,0.2,3,120,2
109,run_108_repetition_0,DONE,Imu,0.5,1,120,1
110,run_109_repetition_0,DONE,Imu,0.5,1,120,2
111,run_110_repetition_0,DONE,Imu,0.5,2,120,1
112,run_111_repetition_0,DONE,Imu,0.5,2,120,2
113,run_112_repetition_0,DONE,Imu,0.5,3,120,1
114,run_113_repetition_0,DONE,Imu,0.5,3,120,2
115,run_114_repetition_0,DONE,Imu,1.0,1,120,1
116,run_115_repetition_0,DONE,Imu,1.0,1,120,2
117,run_116_repetition_0,DONE,Imu,1.0,2,120,1
118,run_117_repetition_0,DONE,Imu,1.0,2,120,2
119,run_118_repetition_0,DONE,Imu,1.0,3,120,1
120,run_119_repetition_0,DONE,Imu,1.0,3,120,2
122,run_121_repetition_0,DONE,String,0.1,1,120,2
124,run_123_repetition_0,DONE,String,0.1,2,120,2
126,run_125_repetition_0,DONE,String,0.1,3,120,2
128,run_127_repetition_0,DONE,String,0.2,1,120,2
130,run_129_repetition_0,DONE,String,0.2,2,120,2
132,run_131_repetition_0,DONE,String,0.2,3,120,2
134,run_133_repetition_0,DONE,String,0.5,1,120,2
136,run_135_repetition_0,DONE,String,0.5,2,120,2
138,run_137_repetition_0,DONE,String,0.5,3,120,2
140,run_139_repetition_0,DONE,String,1.0,1,120,2
142,run_141_repetition_0,DONE,String,1.0,2,120,2
144,run_143_repetition_0,DONE,String,1.0,3,120,2
145,run_144_repetition_0,DONE,PoseStamped,0.1,1,120,1
146,run_145_repetition_0,DONE,PoseStamped,0.1,1,120,2
147,run_146_repetition_0,DONE,PoseStamped,0.1,2,120,1
148,run_147_repetition_0,DONE,PoseStamped,0.1,2,120,2
149,run_148_repetition_0,DONE,PoseStamped,0.1,3,120,1
150,run_149_repetition_0,DONE,PoseStamped,0.1,3,120,2
151,run_150_repetition_0,DONE,PoseStamped,0.2,1,120,1
152,run_151_repetition_0,DONE,PoseStamped,0.2,1,120,2
153,run_152_repetition_0,DONE,PoseStamped,0.2,2,120,1
154,run_153_repetition_0,DONE,PoseStamped,0.2,2,120,2
155,run_154_repetition_0,DONE,PoseStamped,0.2,3,120,1
156,run_155_repetition_0,DONE,PoseStamped,0.2,3,120,2
157,run_156_repetition_0,DONE,PoseStamped,0.5,1,120,1
158,run_157_repetition_0,DONE,PoseStamped,0.5,1,120,2
159,run_158_repetition_0,DONE,PoseStamped,0.5,2,120,1
160,run_159_repetition_0,DONE,PoseStamped,0.5,2,120,2
161,run_160_repetition_0,DONE,PoseStamped,0.5,3,120,1
162,run_161_repetition_0,DONE,PoseStamped,0.5,3,120,2
163,run_162_repetition_0,DONE,PoseStamped,1.0,1,120,1
164,run_163_repetition_0,DONE,PoseStamped,1.0,1,120,2
165,run_164_repetition_0,DONE,PoseStamped,1.0,2,120,1
166,run_165_repetition_0,DONE,PoseStamped,1.0,2,120,2
167,run_166_repetition_0,DONE,PoseStamped,1.0,3,120,1
168,run_167_repetition_0,DONE,PoseStamped,1.0,3,120,2
169,run_168_repetition_0,DONE,LaserScan,0.1,1,120,1
170,run_169_repetition_0,DONE,LaserScan,0.1,1,120,2
171,run_170_repetition_0,DONE,LaserScan,0.1,2,120,1
172,run_171_repetition_0,DONE,LaserScan,0.1,2,120,2
173,run_172_repetition_0,DONE,LaserScan,0.1,3,120,1
174,run_173_repetition_0,DONE,LaserScan,0.1,3,120,2
175,run_174_repetition_0,DONE,LaserScan,0.2,1,120,1
176,run_175_repetition_0,DONE,LaserScan,0.2,1,120,2
177,run_176_repetition_0,DONE,LaserScan,0.2,2,120,1
178,run_177_repetition_0,DONE,LaserScan,0.2,2,120,2
179,run_178_repetition_0,DONE,LaserScan,0.2,3,120,1
180,run_179_repetition_0,DONE,LaserScan,0.2,3,120,2
181,run_180_repetition_0,DONE,LaserScan,0.5,1,120,1
182,run_181_repetition_0,DONE,LaserScan,0.5,1,120,2
183,run_182_repetition_0,DONE,LaserScan,0.5,2,120,1
184,run_183_repetition_0,DONE,LaserScan,0.5,2,120,2
185,run_184_repetition_0,DONE,LaserScan,0.5,3,120,1
186,run_185_repetition_0,DONE,LaserScan,0.5,3,120,2
187,run_186_repetition_0,DONE,LaserScan,1.0,1,120,1
188,run_187_repetition_0,DONE,LaserScan,1.0,1,120,2
189,run_188_repetition_0,DONE,LaserScan,1.0,2,120,1
190,run_189_repetition_0,DONE,LaserScan,1.0,2,120,2
191,run_190_repetition_0,DONE,LaserScan,1.0,3,120,1
192,run_191_repetition_0,DONE,LaserScan,1.0,3,120,2
194,run_193_repetition_0,DONE,Float64,0.1,1,120,2
196,run_195_repetition_0,DONE,Float64,0.1,2,120,2
198,run_197_repetition_0,DONE,Float64,0.1,3,120,2
200,run_199_repetition_0,DONE,Float64,0.2,1,120,2
202,run_201_repetition_0,DONE,Float64,0.2,2,120,2
204,run_203_repetition_0,DONE,Float64,0.2,3,120,2
206,run_205_repetition_0,DONE,Float64,0.5,1,120,2
208,run_207_repetition_0,DONE,Float64,0.5,2,120,2
210,run_209_repetition_0,DONE,Float64,0.5,3,120,2
212,run_211_repetition_0,DONE,Float64,1.0,1,120,2
214,run_213_repetition_0,DONE,Float64,1.0,2,120,2
216,run_215_repetition_0,DONE,Float64,1.0,3,120,2
218,run_217_repetition_0,DONE,Float32,0.1,1,120,2
220,run_219_repetition_0,DONE,Float32,0.1,2,120,2
222,run_221_repetition_0,DONE,Float32,0.1,3,120,2
224,run_223_repetition_0,DONE,Float32,0.2,1,120,2
226,run_225_repetition_0,DONE,Float32,0.2,2,120,2
228,run_227_repetition_0,DONE,Float32,0.2,3,120,2
230,run_229_repetition_0,DONE,Float32,0.5,1,120,2
232,run_231_repetition_0,DONE,Float32,0.5,2,120,2
234,run_233_repetition_0,DONE,Float32,0.5,3,120,2
236,run_235_repetition_0,DONE,Float32,1.0,1,120,2
238,run_237_repetition_0,DONE,Float32,1.0,2,120,2
240,run_239_repetition_0,DONE,Float32,1.0,3,120,2
242,run_241_repetition_0,TODO,Vector3Stamped,0.1,1,120,2
244,run_243_repetition_0,TODO,Vector3Stamped,0.1,2,120,2
246,run_245_repetition_0,TODO,Vector3Stamped,0.1,3,120,2
248,run_247_repetition_0,TODO,Vector3Stamped,0.2,1,120,2
